No.,機能,項目,選択肢/参考,決定内容,決定者,日付
1,①ダッシュボード進捗率,試験⇔課題カテゴリマッピング正規化,"seikatsu / business-jp / business_jp の混在",seikatsu と business-jp の2種に統一(ハイフン表記),taehun0023,2026-06-01
2,①ダッシュボード進捗率,「毎週」の定義,月曜起算 / 月初 / 課題発行から7日,月曜 00:00 〜 日曜 23:59,taehun0023,2026-06-01
3,①ダッシュボード進捗率,遅延判定基準,due_date 経過のみ / 週次未達も含む,due_date < now() AND status != completed,taehun0023,2026-06-01
4,①ダッシュボード進捗率,試験列の表示形式,カットライン+スコア / 合否 / 最新点数,カットライン/スコア形式 (例: 82/39)。スコア < カットラインは赤、≥ カットラインは緑。未受験は —。IT用語(CS/開発)系試験は集計対象外、生活日本語/ビジネス日本語のみ,taehun0023,2026-06-01
5,①ダッシュボード進捗率,管理者課題付与 UI 改善範囲,複数選択 / テンプレ / フィルタ,複数 mentee 一括選択 + カテゴリフィルタ,taehun0023,2026-06-01
6,②テストアカウント整理,テストアカウント識別基準,email ドメイン / role / created_at,email ドメインが @jbridge.test または @test.com,taehun0023,2026-06-01
7,②テストアカウント整理,バックアップ保存期間,無期限 / 3ヶ月 / 1ヶ月,3ヶ月,taehun0023,2026-06-01
8,②テストアカウント整理,実行時刻 (メンテナンス窓),深夜 / 週末 / 即時,週末 深夜,taehun0023,2026-06-01
9,②テストアカウント整理,audit_log SET NULL の可否,SET NULL 許可 / orphan 削除 / 保持,そのまま保持 (痕跡を残す),taehun0023,2026-06-01
10,②テストアカウント整理,本番反映承認者,―,taehun0023 本人による明示承認,taehun0023,2026-06-01
11,③ユーザー名表記統一,カタカナ未入力時の fallback,漢字名のみ / 空欄 / プレースホルダ,漢字名のみ表示 (ルビなし),taehun0023,2026-06-01
12,③ユーザー名表記統一,既存 full_name データ移行方式,一括 / 段階的 / 混在,一括 full_name → kanji_name にコピー、カタカナはユーザーが順次入力,taehun0023,2026-06-01
13,③ユーザー名表記統一,ヘッダーは漢字名のみで良いか,はい / 併記 / 再検討,はい 漢字名のみ (ルビなし),taehun0023,2026-06-01
22,③ユーザー名表記統一,名前表示形式 (ヘッダー以外),ルビ(振り仮名) / 併記カッコ / インライン,ヘッダー以外は漢字の上に小さくカタカナをルビ(振り仮名)として表示 (例: 「森」の上に「モリ」)。HTML5 <ruby> タグまたは同等のスタイルで実装,taehun0023,2026-06-01
14,④プロフィール画面,IT 関連資格の入力方式,自由記述 / 事前定義ドロップダウン,"事前定義ドロップダウン (基本情報技術者・AWS SAA・OCJP 等) + その他(自由記述)",taehun0023,2026-06-01
15,④プロフィール画面,JLPT 多重表示方式,併記 / 最高位のみ / 全て表示,全て併記 (例: N1, N2),taehun0023,2026-06-01
16,④プロフィール画面,kanji_name / katakana_name 必須可否,両必須 / 漢字必須 / 任意,漢字名のみ必須・カタカナは任意,taehun0023,2026-06-01
17,⑤五角形スコア改善,有効スコアの有効期限,無期限 / 1年 / 半年,無期限,taehun0023,2026-06-01
18,⑤五角形スコア改善,同一難易度の再受験ポリシー,最新採用 / 最高採用,最高採用,taehun0023,2026-06-01
19,⑤五角形スコア改善,高難易度で落ちた場合の挙動,新スコアで上書き / 以前のスコア維持,最高採用 (以前のスコア維持),taehun0023,2026-06-01
20,⑤五角形スコア改善,コーディング階級 (S/A/B/C/D) も同一規則?,はい / 別ルール,はい 同一規則,taehun0023,2026-06-01
21,⑤五角形スコア改善,Axis 2 (IT Japanese) も同一規則?,はい / 別ルール,はい 同一規則,taehun0023,2026-06-01
