"No","화면","URL","원래","바뀜","담당자","상태"
"1","대시보드 진척표(관리자·멘토)","/dashboard","멘토와 관리자가 서로 다른 화면. 표 머리글 2줄, 시험·과제가 생활/비즈니스로 나뉨. 줄마다 과제 주는 버튼이 있었음.","멘토도 관리자와 같은 표. 머리글 1줄로 정리하고 목표레벨·시험레벨·이해도테스트·진척률 칸 추가. 줄별 버튼 제거, 이름을 누르면 리포트로 이동.","",""
"2","대시보드 진척표","/dashboard","시험 점수가 합격점/내점수 순서. 미완료·전체진척이 전체 기준.","시험 점수를 내점수/합격점 순서로 변경. 미완료·전체진척을 생활일본어 기준으로 변경.","",""
"3","대시보드 과제 주기 버튼","/dashboard","상단에 項目課題·一括割り当て 버튼.","상단을 課題(항목과제)·理解テスト(이해도테스트) 두 버튼으로 정리. 대상자를 골라 한번에 부여하고, 목표 레벨별 일괄 선택도 가능.","",""
"4","대시보드 인사말","/dashboard","「〇〇님 — 전 사원의 일본어 진척 현황」 문구가 떠 있었음.","삭제.","",""
"5","대시보드(학습자 화면)","/dashboard","학습자 대시보드 상단에 아무것도 없었음.","「이번 달 일본어 과제(JLPT)」 카드가 생겨 진척바로 표시.","",""
"6","대시보드 이해도테스트 표시(버그 수정)","/dashboard","이해도테스트를 줘도 대시보드에 —/— 로 반영이 안 됐음.","합격수/부여개수로 제대로 표시되도록 수정.","",""
"7","과제배분","/admin/tasks","과제 표 + 시험 승인요청 탭(승인/거부)이 있었고 통계 카드가 6개.","사람별로 접었다 펴는 목록으로 변경. 시험 승인 기능 삭제, 통계 카드 5개.","",""
"8","과제배분","/admin/tasks","관리자에게 모든 멘티가 다 보였고, 과제 내용 수정이 안 됐음.","관리자에게는 과제를 받은 사람만 표시. 과제 제목·기한·설명·개수를 바로 수정 가능.","",""
"9","과제배분 과제 제목","/admin/tasks","과제 제목이 「N1 漢字 170項目（月次自動）」 처럼 표시.","뒤의 「（月次自動）」 글자 삭제(기존에 쌓인 것도 정리 완료).","",""
"10","사용자관리","/admin/users","칸이 11개(시험·과제·미완료·지연·이번달·전체진척 등)로 복잡, 머리글 2줄.","이름·메일·담당멘토·역할·등록일만 남긴 간단한 표. 가운데 정렬 + 세로 구분선, 이름 칸 내용만 왼쪽 정렬.","",""
"11","사용자관리","/admin/users","「一括割り当て」 버튼과 줄마다 「課題」 버튼으로 과제를 줬음.","여기서는 과제 주는 기능을 전부 없앰.","",""
"12","사용자관리 프로필 편집","/admin/users","이름은 그냥 글자였고, 수정은 줄 안의 작은 선택칸으로만 가능.","이름을 누르면 그 사람 프로필 편집 창이 뜸. 이름·역할·담당멘토·전문분야·목표자격·JLPT·IT자격·비밀번호 초기화까지 한 곳에서 수정.","",""
"13","프로필","/profile","「개인정보와 학습상황을 확인하세요」 안내문과 「만나서 반갑습니다, 〜님!」 인사말 박스가 있었음.","둘 다 삭제.","",""
"14","프로필","/profile","본인 로그인 아이디(메일)가 안 보였고, 이름칸·JLPT칸에 설명 문구가 있었음.","아이디(메일)를 보기 전용으로 표시. 설명 문구는 삭제.","",""
"15","프로필 JLPT 선택","/profile","JLPT 자격 선택이 N5~N1만 있었음.","「없음」 선택지 추가.","",""
"16","상단 헤더(공통)","전체 화면 공통","톱니바퀴(설정)를 눌러야 프로필로 갔고, 이름은 누를 수 없었음.","톱니바퀴 삭제. 이름을 누르면 프로필로 이동.","",""
"17","일본어(JLPT)","/japanese/jlpt","한자 진척을 100개까지만 셌음.","실제 전체 개수로 셈.","",""
"18","왼쪽 메뉴(사이드바)","전체 화면 공통","메뉴 이름이 「生活日本語」.","「JLPT」로 변경.","",""
"19","종합시험","공통","신청 후 승인을 받아야 응시할 수 있었음.","신청하면 바로 응시 가능(승인 불필요).","",""
"20","멘토 대시보드","/mentor","담당 멘티 목록 순서가 일정하지 않았음.","이름순으로 정렬.","",""
"21","이름 표시(공통)","전체 화면 공통","이름 위 후리가나(읽는 법) 글자가 작았음.","조금 키워 가독성 개선.","",""
"22","공지 목록","/dashboard","공지 목록이 카드형이었음.","줄 구분선 형태로 변경.","",""
